,x,y,w
0,0.55,1.35,100
1,0.55,1.4000000000000001,100
2,0.55,1.4500000000000002,100
3,0.55,1.55,100
4,0.55,1.6,100
5,0.55,1.6500000000000001,100
6,0.55,1.7000000000000002,100
7,0.55,1.75,100
8,0.55,1.8,100
9,0.55,1.85,100
10,0.55,1.9000000000000001,100
11,0.55,1.9500000000000002,100
12,0.55,2.0,100
13,0.55,2.0500000000000003,100
14,0.55,2.1,100
15,0.55,2.15,100
16,0.55,2.2,100
17,0.55,2.25,100
18,0.55,2.3000000000000003,100
19,0.55,2.35,100
20,0.55,2.4000000000000004,100
21,0.55,2.45,100
22,0.55,2.5,100
23,0.55,2.5500000000000003,0
24,0.55,1.35,100
25,0.55,1.4000000000000001,100
26,0.55,1.4500000000000002,100
27,0.55,1.5,100
28,0.55,1.55,100
29,0.55,1.6,100
30,0.55,1.6500000000000001,100
31,0.55,1.7000000000000002,100
32,0.55,1.75,100
33,0.55,1.8,100
34,0.55,1.85,100
35,0.55,1.9000000000000001,100
36,0.55,1.9500000000000002,100
37,0.55,2.0,100
38,0.55,2.0500000000000003,100
39,0.55,2.15,100
40,0.55,2.2,100
41,0.55,2.25,100
42,0.55,2.3000000000000003,100
43,0.55,2.35,100
44,0.55,2.4000000000000004,100
45,0.55,2.45,100
46,0.55,2.5,100
47,0.55,2.5500000000000003,100
48,0.55,2.6,0
49,0.55,1.35,100
50,0.55,1.4000000000000001,100
51,0.55,1.4500000000000002,100
52,0.55,1.5,100
53,0.55,1.6,100
54,0.55,1.6500000000000001,100
55,0.55,1.7000000000000002,100
56,0.55,1.75,100
57,0.55,1.8,100
58,0.55,1.85,100
59,0.55,1.9000000000000001,100
60,0.55,1.9500000000000002,100
61,0.5,2.0,100
62,0.5,2.0500000000000003,100
63,0.5,2.1,100
64,0.5,2.15,100
65,0.5,2.2,100
66,0.5,2.25,100
67,0.5,2.3000000000000003,100
68,0.5,2.35,100
69,0.5,2.4000000000000004,100
70,0.5,2.45,100
71,0.5,2.5,100
72,0.5,2.5500000000000003,100
73,0.5,2.6,0
74,0.55,1.35,100
75,0.55,1.4000000000000001,100
76,0.55,1.4500000000000002,100
77,0.55,1.55,100
78,0.55,1.6,100
79,0.55,1.6500000000000001,100
80,0.55,1.7000000000000002,100
81,0.5,1.75,100
82,0.5,1.8,100
83,0.5,1.85,100
84,0.5,1.9000000000000001,100
85,0.5,1.9500000000000002,100
86,0.5,2.0,100
87,0.5,2.0500000000000003,100
88,0.5,2.1,100
89,0.5,2.15,100
90,0.5,2.2,100
91,0.5,2.25,100
92,0.5,2.3000000000000003,100
93,0.5,2.35,100
94,0.5,2.4000000000000004,100
95,0.5,2.45,100
96,0.5,2.5,100
97,0.5,2.5500000000000003,0
98,0.55,1.35,100
99,0.55,1.4000000000000001,100
100,0.55,1.4500000000000002,100
101,0.55,1.5,100
102,0.55,1.55,100
103,0.5,1.6,100
104,0.5,1.6500000000000001,100
105,0.5,1.7000000000000002,100
106,0.5,1.75,100
107,0.5,1.8,100
108,0.5,1.9000000000000001,100
109,0.5,1.9500000000000002,100
110,0.5,2.0,100
111,0.5,2.0500000000000003,100
112,0.5,2.1,100
113,0.5,2.15,100
114,0.5,2.2,100
115,0.5,2.25,100
116,0.5,2.3000000000000003,100
117,0.5,2.35,100
118,0.5,2.4000000000000004,100
119,0.45,2.45,100
120,0.45,2.5,100
121,0.45,2.5500000000000003,100
122,0.45,2.6,0
123,0.55,1.35,100
124,0.55,1.4000000000000001,100
125,0.55,1.4500000000000002,100
126,0.55,1.55,100
127,0.5,1.6,100
128,0.5,1.6500000000000001,100
129,0.5,1.7000000000000002,100
130,0.5,1.75,100
131,0.5,1.8,100
132,0.5,1.85,100
133,0.5,1.9000000000000001,100
134,0.5,1.9500000000000002,100
135,0.5,2.0,100
136,0.5,2.0500000000000003,100
137,0.5,2.1,100
138,0.5,2.15,100
139,0.45,2.2,100
140,0.45,2.25,100
141,0.45,2.3000000000000003,100
142,0.45,2.35,100
143,0.45,2.4000000000000004,100
144,0.45,2.45,100
145,0.45,2.5,100
146,0.45,2.5500000000000003,0
147,0.55,1.35,100
148,0.55,1.4000000000000001,100
149,0.55,1.4500000000000002,100
150,0.5,1.55,100
151,0.5,1.6,100
152,0.5,1.6500000000000001,100
153,0.5,1.7000000000000002,100
154,0.5,1.75,100
155,0.5,1.8,100
156,0.5,1.85,100
157,0.5,1.9000000000000001,100
158,0.5,1.9500000000000002,100
159,0.5,2.0,100
160,0.45,2.0500000000000003,100
161,0.45,2.1,100
162,0.45,2.15,100
163,0.45,2.2,100
164,0.45,2.25,100
165,0.45,2.3000000000000003,100
166,0.45,2.35,100
167,0.45,2.4000000000000004,100
168,0.45,2.45,100
169,0.4,2.5,100
170,0.4,2.5500000000000003,0
171,0.55,1.35,100
172,0.55,1.4000000000000001,100
173,0.55,1.4500000000000002,100
174,0.5,1.5,100
175,0.5,1.55,100
176,0.5,1.6,100
177,0.5,1.6500000000000001,100
178,0.5,1.7000000000000002,100
179,0.5,1.75,100
180,0.5,1.8,100
181,0.5,1.85,100
182,0.45,1.9000000000000001,100
183,0.45,1.9500000000000002,100
184,0.45,2.0,100
185,0.45,2.0500000000000003,100
186,0.45,2.1,100
187,0.45,2.15,100
188,0.45,2.2,100
189,0.45,2.25,100
190,0.45,2.3000000000000003,100
191,0.4,2.35,100
192,0.4,2.4000000000000004,100
193,0.4,2.45,100
194,0.4,2.5,100
195,0.4,2.5500000000000003,0
196,0.55,1.35,100
197,0.55,1.4000000000000001,100
198,0.5,1.4500000000000002,100
199,0.5,1.55,100
200,0.5,1.6,100
201,0.5,1.6500000000000001,100
202,0.5,1.7000000000000002,100
203,0.5,1.75,100
204,0.5,1.8,100
205,0.45,1.85,100
206,0.45,1.9000000000000001,100
207,0.45,1.9500000000000002,100
208,0.45,2.0,100
209,0.45,2.0500000000000003,100
210,0.45,2.1,100
211,0.45,2.15,100
212,0.4,2.2,100
213,0.4,2.25,100
214,0.4,2.3000000000000003,100
215,0.4,2.35,100
216,0.4,2.4000000000000004,100
217,0.4,2.45,100
